ID,X,Y,Lat,Lon
1,1072,637,21.517705,105.381456
2,1073,637,21.517705,105.381546
3,1074,637,21.517705,105.381635
4,1075,637,21.517705,105.381725
5,1076,637,21.517705,105.381815
6,1077,637,21.517705,105.381905
7,1078,637,21.517705,105.381995
8,1079,637,21.517705,105.382085
9,1080,637,21.517705,105.382174
10,1081,637,21.517705,105.382264
11,1082,637,21.517705,105.382354
12,1083,637,21.517705,105.382444
13,1084,637,21.517705,105.382534
14,1085,637,21.517705,105.382624
15,1086,637,21.517705,105.382713
16,1087,637,21.517705,105.382803
17,1088,637,21.517705,105.382893
18,1089,637,21.517705,105.382983
19,1090,637,21.517705,105.383073
20,1091,637,21.517705,105.383163
21,1092,637,21.517705,105.383252
22,1093,637,21.517705,105.383342
23,1094,637,21.517705,105.383432
24,1095,637,21.517705,105.383522
25,1096,637,21.517705,105.383612
26,1097,637,21.517705,105.383702
27,1072,638,21.517615,105.381456
28,1073,638,21.517615,105.381546
29,1074,638,21.517615,105.381635
30,1075,638,21.517615,105.381725
31,1076,638,21.517615,105.381815
32,1077,638,21.517615,105.381905
33,1078,638,21.517615,105.381995
34,1079,638,21.517615,105.382085
35,1080,638,21.517615,105.382174
36,1081,638,21.517615,105.382264
37,1082,638,21.517615,105.382354
38,1083,638,21.517615,105.382444
39,1084,638,21.517615,105.382534
40,1085,638,21.517615,105.382624
41,1086,638,21.517615,105.382713
42,1087,638,21.517615,105.382803
43,1088,638,21.517615,105.382893
44,1089,638,21.517615,105.382983
45,1090,638,21.517615,105.383073
46,1091,638,21.517615,105.383163
47,1092,638,21.517615,105.383252
48,1093,638,21.517615,105.383342
49,1094,638,21.517615,105.383432
50,1095,638,21.517615,105.383522
51,1096,638,21.517615,105.383612
52,1097,638,21.517615,105.383702
53,1072,639,21.517526,105.381456
54,1073,639,21.517526,105.381546
55,1074,639,21.517526,105.381635
56,1075,639,21.517526,105.381725
57,1076,639,21.517526,105.381815
58,1077,639,21.517526,105.381905
59,1078,639,21.517526,105.381995
60,1079,639,21.517526,105.382085
61,1080,639,21.517526,105.382174
62,1081,639,21.517526,105.382264
63,1082,639,21.517526,105.382354
64,1083,639,21.517526,105.382444
65,1084,639,21.517526,105.382534
66,1085,639,21.517526,105.382624
67,1086,639,21.517526,105.382713
68,1087,639,21.517526,105.382803
69,1088,639,21.517526,105.382893
70,1089,639,21.517526,105.382983
71,1090,639,21.517526,105.383073
72,1091,639,21.517526,105.383163
73,1092,639,21.517526,105.383252
74,1093,639,21.517526,105.383342
75,1094,639,21.517526,105.383432
76,1095,639,21.517526,105.383522
77,1096,639,21.517526,105.383612
78,1097,639,21.517526,105.383702
79,1072,640,21.517436,105.381456
80,1073,640,21.517436,105.381546
81,1074,640,21.517436,105.381635
82,1075,640,21.517436,105.381725
83,1076,640,21.517436,105.381815
84,1077,640,21.517436,105.381905
85,1078,640,21.517436,105.381995
86,1079,640,21.517436,105.382085
87,1080,640,21.517436,105.382174
88,1081,640,21.517436,105.382264
89,1082,640,21.517436,105.382354
90,1083,640,21.517436,105.382444
91,1084,640,21.517436,105.382534
92,1085,640,21.517436,105.382624
93,1086,640,21.517436,105.382713
94,1087,640,21.517436,105.382803
95,1088,640,21.517436,105.382893
96,1089,640,21.517436,105.382983
97,1090,640,21.517436,105.383073
98,1091,640,21.517436,105.383163
99,1092,640,21.517436,105.383252
100,1093,640,21.517436,105.383342
101,1094,640,21.517436,105.383432
102,1095,640,21.517436,105.383522
103,1096,640,21.517436,105.383612
104,1097,640,21.517436,105.383702
105,1072,641,21.517346,105.381456
106,1073,641,21.517346,105.381546
107,1074,641,21.517346,105.381635
108,1075,641,21.517346,105.381725
109,1076,641,21.517346,105.381815
110,1077,641,21.517346,105.381905
111,1078,641,21.517346,105.381995
112,1079,641,21.517346,105.382085
113,1080,641,21.517346,105.382174
114,1081,641,21.517346,105.382264
115,1082,641,21.517346,105.382354
116,1083,641,21.517346,105.382444
117,1084,641,21.517346,105.382534
118,1085,641,21.517346,105.382624
119,1086,641,21.517346,105.382713
120,1087,641,21.517346,105.382803
121,1088,641,21.517346,105.382893
122,1089,641,21.517346,105.382983
123,1090,641,21.517346,105.383073
124,1091,641,21.517346,105.383163
125,1092,641,21.517346,105.383252
126,1093,641,21.517346,105.383342
127,1094,641,21.517346,105.383432
128,1095,641,21.517346,105.383522
129,1096,641,21.517346,105.383612
130,1097,641,21.517346,105.383702
131,1073,642,21.517256,105.381546
132,1074,642,21.517256,105.381635
133,1075,642,21.517256,105.381725
134,1076,642,21.517256,105.381815
135,1077,642,21.517256,105.381905
136,1078,642,21.517256,105.381995
137,1079,642,21.517256,105.382085
138,1080,642,21.517256,105.382174
139,1081,642,21.517256,105.382264
140,1082,642,21.517256,105.382354
141,1083,642,21.517256,105.382444
142,1084,642,21.517256,105.382534
143,1085,642,21.517256,105.382624
144,1086,642,21.517256,105.382713
145,1087,642,21.517256,105.382803
146,1088,642,21.517256,105.382893
147,1089,642,21.517256,105.382983
148,1090,642,21.517256,105.383073
149,1091,642,21.517256,105.383163
150,1092,642,21.517256,105.383252
151,1093,642,21.517256,105.383342
152,1094,642,21.517256,105.383432
153,1095,642,21.517256,105.383522
154,1096,642,21.517256,105.383612
155,1097,642,21.517256,105.383702
